domain,ranking,mld_res,mld.ps_res,card_rem,ratio_Rrem,ratio_Arem,jaccard_RR,jaccard_RA,jaccard_AR,jaccard_AA,jaccard_ARrd,jaccard_ARrem,label
stthomasedu.ucoz.ua/microsoft.htm,10000000,1,1,2,150.5,153,0,0.003195,0,0.003226,0.625,0.839394,1
www.procedimentotamfidelidade.com/regulamento/new/processo/atualiza/sacfidelidade/id=1714/,10000000,0,0,8,113.375,117,0,0,0,0,0,0.765326,1
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/3a3e3c4dba5e5cc4407a5694adf1aa8e/,10000000,0,0,9,175,173.888889,0,0,0,0,0,0.77101,1
tinyurl.com/bswqloj,656,1,1,1,0,0,0,0,0,0,0.44,0,1
users11.jabry.com/blopp/Aolupdate.htm,56829,0,0,4,55,39.25,0,0,0,0,0,0.557851,1
tad.ly/BUpQLx,10000000,1,0,1,0,0,0,0,0,0,0.571429,0,1
professionalcrapsplayer.com/upgrade/logins/Trulia/index.htm,10000000,0,0,5,33.6,31.4,0,0,0,0,0,0.692708,1
westerncentermuseum.org/plugins/tmp/sp.php,10000000,0,0,3,162.333333,166.666667,0,0,0,0,0,0.848315,1
cardpromocion2012.com.br/vaidevisa/asp/conta/participe/autentica/autentica.php,10000000,0,0,7,98.714286,98.285714,0,0,0,0,0,0.807339,1
portalsalinas.com.br/modules/mod_acepolls/spam.php,10000000,0,0,5,103.8,105.6,0,0,0,0,0,0.84331,1
trigononline.com/Support.php,10000000,0,0,2,270.5,288,0,0,0,0,0,0.849338,1
docs.google.com/spreadsheet/viewform?formkey=dG9xR28xLUp1R2JPbmpRYjFGc2lmanc6MQ,1,1,1,5,85.4,94.4,0.028235,0.032239,0.027365,0.031432,0.886969,0.696226,1
nextgensmartphones.com//indexer/Trulia/index.htm,10000000,0,0,4,34,31.75,0,0,0,0,0,0.675159,1
lunatic-photography.opidum.de//wp-content/plugins/formulario.php,10000000,1,0,4,132.75,133.5,0,0,0,0,0,0.852174,1
users11.jabry.com/reaseo/Aolupdate.htm,56829,0,0,4,62.75,46.75,0,0,0,0,0,0.586957,1
tinyurl.com/c5br4qc,656,1,1,1,0,0,0,0,0,0,0.44,0,1
www.allandmedia.com/opencart/system/Cielo/index.html,10000000,0,0,6,157,167.833333,0,0,0,0,0,0.763801,1
www.hoskoyu.net/images/AolMail.htm,10000000,0,0,3,46,40,0,0,0,0,0,0.743243,1
www.russel.sk/menuonlineprivado/,10000000,1,0,3,963.333333,1036,0,0,0,0,0.882353,0.867372,1
www.bpoaccess.com/components/com_newsfeeds/cadastro.php,10000000,0,0,5,96,98.8,0,0,0,0,0,0.84121,1
maryhoffmann.com/hsbc/hsbc.MyHSBC_pib.htm,10000000,0,0,3,23.666667,12.666667,0,0,0,0,0,0.493151,1
extraordinarybirds.com/vb/Trulia/index.htm,10000000,0,0,3,42,39.333333,0,0,0,0,0,0.648649,1
apajufe.com.br/www.cielo.com.br/index.php,10000000,0,0,5,162.2,164.4,0,0,0,0,0,0.773073,1
distritabas.com.ar/survey/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5bd76c88f5c3439f2e55b7639f529ccb3bd76c88f5c3439f2e55b7639f529ccb3,10000000,0,0,8,224.75,230.5,0,0,0,0,0,0.813745,1
www.pichincha.initi.in/internexo/jsp/loginbiometrico/loginBiometrico.jsp,10000000,0,0,7,140.285714,142.142857,0,0,0,0,0,0.830556,1
www.gestion-des-impayes.com/visuel.php?param=iK1/I3EkRQjb1KxExSxoEkRQjb1KwEibjkbvI/EkRQjb1KxESFFSEkRQjb1KwEiQI3bi3EkRQjb1KxErSCorxCrEkRQjb1KwE3sk/lPbY/EkRQjb1KxExEkRQjb1KwE1glibjkb,10000000,0,0,11,42.454545,44.272727,0,0,0,0,0,0.870588,1
melodylove.ru/images/stories/style/s/,10000000,0,0,3,72.666667,68,0,0,0,0,0,0.751037,1
www.dd.gostynin.edu.pl/images/smilies/Gbplugin.php,10000000,1,0,5,158,162,0,0,0,0,0.75,0.832761,1
portalfidelidade.net/linhasaereas/areadocliente/autenticado/siteseguro/cadastre-se/gratis/promocoes/novas/t.a.m/boasorte.asp/,10000000,0,0,15,35.266667,31.066667,0,0,0,0,0,0.730435,1
mindfulsolutionsinc.com/red/lov.html.draft,10000000,0,0,4,171,176.75,0,0,0,0,0,0.743108,1
account.craigjsilist.org/blog/login/index.php,10000000,0,0,4,382,405.25,0,0,0,0,0,0.842598,1
optimalit.co.uk/wp-content/uploads/2012/07/24/review.php,10000000,0,0,4,187.25,196.75,0,0,0,0,0,0.817751,1
gplayr.com/pub/www.paypal.com/paypal/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal/index.htm,10000000,0,0,16,128.125,127.6875,0,0,0,0,0,0.768035,1
'motors.shop.ebay.com-cars-trucks-724527.jnq3.com/?Body\%20Type=truck&_dmpt=US_car_truck&_mqf=0&_qfkw=1&_fpos=95616&_lsbx=0&_fspt=0&_flso=0&Make=Toyota&_trksid=p1695235.m724&pid=tac2',10000000,0,0,19,54.736842,55.315789,0,0,0,0,0,0.763069,1
thaiyogajourney.com/plugins/content/backup/lloydstsb.co.uk/login.jsp.htm,10000000,0,0,7,139,139.285714,0,0,0,0,0,0.842952,1
www.meor.org/wp-includes/images/crystal/login.html,10000000,1,0,5,237.2,244.4,0,0,0,0,0.875,0.858025,1
raboardiendo.es/cmd/paypal/2/897962b2c7faf34e7f2d8353af8bdf4e/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a16bef586b4cee084cb52c28011ecf68066bef586b4cee084cb52c28011ecf6806,10000000,0,0,5,160.2,156.6,0,0,0,0,0,0.736842,1
dansk-4571.com/DK/,10000000,0,0,0,0,0,0,0,0,0,0,0,1
www.mbine.com/es/TLBS/tlbs/esp/segmento/particulares=JSP91/index.html,10000000,0,0,6,67.833333,65.666667,0,0,0,0,0,0.791946,1
shopgreenmall.net/tomatodesign.net/images/Design/hsbc/hsbc.MyHSBC_pib.htm,10000000,0,0,8,113.25,108.625,0,0,0,0,0,0.705091,1
click2.cardmemberservices.com/963227831.16589.723931113775.130,472690,1,1,0,0,0,0,0,0,0,0.333333,0,1
www.eunsonair.com//login.html,10000000,0,0,2,506.5,527,0,0,0,0,0,0.860486,1
www.wallhome.com/M5.php,10000000,0,0,1,437,460,0,0,0,0,0,0.853306,1
simplyshmellies.com/magento/shell/act.php,10000000,0,0,4,164,170.75,0,0,0,0,0,0.785333,1
www.sexymalaysia.com/assets/bbva/compass.htm,10000000,0,0,4,21.5,14.25,0,0,0,0,0,0.625,1
www.vanessajanemaldonado.com//wp-content/wp.secure.php,10000000,0,0,3,175,177,0,0,0,0,0,0.805128,1
docs.google.com/a/airtelmail.in/spreadsheet/viewform?formkey=dGt3aG9PNXdhekNLNzZoZ1h2TUFmTUE6MQ,1,1,1,8,153.5,155.625,0.04211,0.044363,0.039474,0.04346,0.886969,0.790731,1
'www.gestion-des-impayes.com/visuel.php?param=iK1/I3EkRQjb1KxExSxoEkRQjb1KwEibjkbvI/EkRQjb1KxESFFSEkRQjb1KwEiQI3bi3EkRQjb1KxErSCorxCrEkRQjb1KwE3sk/lPbY/EkRQjb1KxExEkRQjb1KwE1glibjkb vI/EkRQjb1KxESFFS',10000000,0,0,12,38.916667,40.583333,0,0,0,0,0,0.870588,1
elshadayeletronicos.com/abn-amro/identification/,10000000,0,0,3,19.666667,17,0,0,0,0,0,0.746032,1
www.sisimtel.com.mx/ecommerce/images/.../freebank/myposte/index.html?MfcISAPICommand=SignInFPP&UsingSSL=1&email=&userid=,10000000,0,0,13,429.538462,516.846154,0,0,0,0,0,0.738694,1
www.stacksofplaques.net/catalog/images/.banners/index.php,10000000,0,0,5,141,142.6,0,0,0,0,0,0.815621,1
numberoneclubbombastic.com/wp-includes/js/actualizare.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e2664736d79a9e4e99b7f2380234457562664736d79a9e4e99b7f238023445756,10000000,0,0,7,190.857143,198.428571,0,0,0,0,0,0.847458,1
contact-verified-information.net/en-ligne-verifie-verifiedbyvisa-eu-informations_lu/perso.php,10000000,0,0,8,91.75,91.125,0,0,0,0,0,0.821918,1
leuie.5gbfree.com/index.html,47798,0,0,2,179,181.5,0,0,0,0,0,0.811558,1
ntcrulz.5gbfree.com/fb/,47798,0,0,0,0,0,0,0,0,0,0,0,1
rsaxena.5gbfree.com/facebook.html,47798,0,0,2,560,577.5,0,0,0,0,0,0.864754,1
steamcommunity-giveaway.my3gb.com,51908,1,0,0,0,0,0,0,0,0,0.666667,0,1
steamglfts.h16.ru,133305,1,0,0,0,0,0,0,0,0,0.9,0,1
steamglfts.hut2.ru/,10000000,1,0,0,0,0,0,0,0,0,0,0,1
vinzajah.5gbfree.com/login.php,47798,0,0,2,592.5,623,0,0,0,0,0,0.867127,1
vk-krasota.hut2.ru,10000000,1,0,0,0,0,0,0,0,0,0,0,1
bellicapelliweb.it/libraries/domit/webscr/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a1904f6e09d7fc404feaee06547b2c8274904f6e09d7fc404feaee06547b2c8274,10000000,0,0,6,132.333333,129.666667,0,0,0,0,0,0.733186,1
vk-psich.hut2.ru,10000000,1,0,0,0,0,0,0,0,0,0,0,1
uvb.lg.ua/templates/a216/.PayPaI/fd60358464c1f6411c44e5bf6e28ff0c/,10000000,1,0,2,37.5,39.5,0,0,0,0,0,0.711111,1
mmilogistics.net/preview/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/,10000000,0,0,13,84.384615,79.692308,0,0,0,0,0,0.692857,1
mmilogistics.net/preview/bin/ssl/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run,10000000,0,0,13,84.384615,79.692308,0,0,0,0,0,0.692857,1
vklife.hut2.ru,10000000,1,0,0,0,0,0,0,0,0,0,0,1
docs.google.com/spreadsheet/viewform?formkey=dGxqZEI0eTB5N0lzMC1EbUdKdmRUamc6MQ,1,1,1,6,71.166667,78.666667,0.028235,0.032239,0.027365,0.031432,0.886969,0.696226,1
sysgo.com.ve/shop/modules/sendtoafriend/smg/index.html,10000000,0,0,7,104.285714,104.571429,0,0,0,0,0,0.813896,1
wlservices.fr/css/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e58f68c371b0c6dfb0c971e2b6492d5d658f68c371b0c6dfb0c971e2b6492d5d6,816255,0,0,8,242.125,247.875,0,0,0,0,0,0.820715,1
informationconcernant.x11s.org/verifier/etap1.html?u=xwww.visaeurope.fr/espace-client/mes-donnees-personnelles?rpsnv,182481,1,0,12,71.083333,69.666667,0,0,0,0,0.666667,0.794899,1
tinyurl.com/bsebhuz,656,1,1,2,22,16,0,0,0,0,0.44,0.652174,1
www.boat-importers-australia.com.au/wp-includes/css/service.htm,10000000,0,0,4,126.25,132,0,0,0,0,0,0.762799,1
www.scarboroughmechanical.com/irs/,10000000,0,0,1,74,58,0,0,0,0,0,0.483146,1
paypal.co.uk.online.aacounts.updates.internet.service.electro-obras.com.pe/webscr.php?cmd=_login-,10000000,0,0,10,494.3,518.2,0,0,0,0,0,0.866015,1
www.udc.an/wp-includes/js/tinymce/themes/advanced/img/link.htm,10000000,1,0,7,44.142857,40.285714,0.003021,0.003289,0.003115,0.003401,0.565217,0.683761,1
paypal.com.us.cgi.bin.webscr.cmd.login-submit.dispatch.5885d80a13c0db1f8e263663d3faee8d7283e7f0184a5674430.f290db9.e9c846.588412.bandarepudio.com.br/rex/secure-code165/security/,10000000,0,0,14,162.642857,165,0,0,0,0,0,0.778596,1
home.comcast.net/~cfallows1/ISAPIdllCustomerSupport&ambaybuyerprotectionpoliciesindex4.html.draft,183,1,1,10,78.8,82.4,0.005882,0.00678,0.004884,0.005855,0.522388,0.714894,1
secure.pay-pal-comfort.de/index.php?cmd=secure&amp;CONNECTION=HAhadu489DHajdjahhUh73ad5XqhkH4kgWqMwwO6m2fkG04qTb4Yeaufcq&amp;pay-pal=50a222a5775345a3d7b60623adasde0b7e69bf0224adecfb0124e9b61f737b353575a38b40b7ec79a0179e3b8dasdadf35,10000000,0,0,11,76.545455,76.636364,0,0,0,0,0,0.726434,1
sz7i.com/paypal.com.au.q/webscr.html?cmd=SignIn&co_partnerId=2&pUserId=&siteid=0&pageType=&pa1=&i1=&bshowgif=&UsingSSL=&ru=&pp=&pa2=&errmsg=&runameMessage-ID:,10000000,0,0,17,91.823529,91.764706,0,0,0,0,0,0.717666,1
paypal-online.de/index.html?paypal-scure=connection&amp;sessionnr=uadhjahu4hbaBa6dtGGdazgh46D&amp;A6asgdad6Gd6AGSdAGdg7agd7ga7sd64g3&amp;secure=8a8sduuh4aDASdhuehDAdh7h3JAHDAShd3hHJjadsjha-paypal-deJahsdajsdhj3hjasbBJABdj,10000000,0,0,19,37.789474,34.105263,0,0,0,0,0,0.733503,1
secure.pay-pal-comfort.de/index.php?paypal=safe&amp;connection=83ahdJahdhhsuaduazTZasdhgH-pay-pal.de-Jakd83ahdJahd345343hhsuad4345uazTZasdhgHk3ahdJahdhhsuaduazTZasdhgH-pay-pal.de-Jakd83ahdJahd345343hhajs,10000000,0,0,13,69.076923,68.692308,0,0,0,0,0,0.752446,1
artofrodnymella.com/soc/userinfo/,10000000,0,0,2,18.5,11,0,0,0,0,0,0.552632,1
paypal.com.us.cgi.bin.webscr.cmd.login.submit.bx3digitallp.com/Review/56a56d0c72ca057b293ee8964b9d13be/,10000000,0,0,9,175,173.888889,0,0,0,0,0,0.77101,1
www.paypal.com.uscgi-bin.webscr.cmd.login-submit.dispatch.97c8e6d0d14f43b296fdbdb6189c802954b1267956048.suenacristo.com/64208031cb708813b3d774f3c7f098a3/,10000000,0,0,11,152.636364,151.272727,0,0,0,0,0,0.781034,1
paypal.com.us.cgi.bin.webscr.cmd.login.member.verifed.interhottap.com.mx/54855458214/ec3c38df1b6f9e413ed3d6dcb693d36d/,10000000,0,0,9,172.222222,170.777778,0,0,0,0,0,0.779251,1
bridge-afrik.com/soc/userinfo/,10000000,0,0,2,18.5,11,0,0,0,0,0,0.552632,1
www.vis-ph.com/wp-admin/maint/index.html?section=signinpage&amp;=&amp;cookiecheck=yes&amp;=nba/signin,10000000,0,0,12,82.75,77.083333,0,0,0,0,0,0.721724,1
www.koumuzik.org/ulk/templates/ja_larix/ja_menus/ja_moomenu/img/security/c0773f49e8c56ca3846febc55a576a83/,10000000,0,0,7,44,45.428571,0,0,0,0,0,0.743733,1
tom-burns.com/absa_better_returng/index.php,10000000,0,0,3,176.666667,185,0,0,0,0,0,0.82968,1
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code10/security/,10000000,0,0,13,173.230769,176.076923,0,0,0,0,0,0.781483,1
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/,10000000,0,0,10,156.7,154.3,0,0,0,0,0,0.778159,1
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code203/security/,10000000,0,0,8,211.75,218.625,0,0,0,0,0,0.808298,1
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/,10000000,0,0,5,201.8,200.6,0,0,0,0,0,0.824116,1
jennys.com.bd/Information/login.php,10000000,1,0,3,411.333333,431.666667,0,0.000763,0,0.000763,0.941176,0.867799,1
www.paypai.com-service.confirm.cgi-bin.w2bscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f.agled.com.ar/paypai-login/service/dir.php,10000000,0,0,16,174.375,181.0625,0,0,0,0,0,0.799114,1
www.paypai.com-service.confirm.cgi-bin.w2bscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f.agled.com.ar/paypai-login/service/Limit15/,10000000,0,0,15,154.866667,161.266667,0,0,0,0,0,0.781367,1
www.paypai.com-service.confirm.cgi-bin.w2bscr-cmd.login.submit.new-load.5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f.agled.com.ar/paypai-login/service/Restart.php,10000000,0,0,16,176.625,183.375,0,0,0,0,0,0.796071,1
www.danatranslation.com/modules/pp/,10000000,0,0,1,19,17,0,0,0,0,0,0.714286,1
www.remisereduc.com/test/ssi/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e0ec384b985d8255691b6e0e8c08646a70ec384b985d8255691b6e0e8c08646a7,10000000,0,0,9,258.444444,268.888889,0,0,0,0,0,0.812834,1
paypal.com.cgi-bin.login1589114111g859f.sonreir.cl/paypal/2/26331542f170e682e1bbdc535bedbb6b/webscr.html?cmd=5885d80a13c0db1f22d2300ef60a67593b79a4d03747447e6b625328d36121a16e133dc34bbf944d0054e13621ea39f76e133dc34bbf944d0054e13621ea39f7,10000000,1,0,8,130,124.125,0,0,0,0,0.769231,0.718512,1
www.danatranslation.com/modules/pp/secure-code4/security/login.php,10000000,0,0,6,314.833333,334.833333,0,0,0,0,0,0.838679,1
eu.battle.net.login.zh-gvk.in/login.html?app=wam&amp;ref=www.worldofwarcraft.com/account/&amp;eor=0&amp;app=bam/,10000000,0,0,14,177.285714,180.357143,0,0,0,0,0,0.768008,1
eu.battle.net.login.zh-gvk.in/login.html?app=wam&ref=www.worldofwarcraft.com/account/&eor=0&app=bam/,10000000,0,0,13,187.769231,192.153846,0,0,0,0,0,0.768349,1
paypal.com.cgi-bin.login1589114111g859f.sonreir.cl/paypal/2/26331542f170e682e1bbdc535bedbb6b/,10000000,1,0,4,77.25,67.25,0,0,0,0,0.769231,0.651429,1
www.vis-ph.com/wp-admin/maint/index.html?section=signinpage&amp;amp;=&amp;amp;cookiecheck=yes&amp;amp;=nba/signin,10000000,0,0,12,82.75,77.083333,0,0,0,0,0,0.721724,1
hjftgggtjtttttuyrjtjt6ju6u6u6yu6.4ove.com/,46818,0,0,0,0,0,0,0,0,0,0,0,1
cloud-tech.in/img/es/paypalworldwide.INC/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal/,10000000,0,0,14,132.5,132.785714,0,0,0,0,0,0.784719,1
paypal.com.tn.cgi.bin.webscr.cmd.login-submit.dispatch.455637489933857729095340593759035457667878187.espinakeitor.cl/paypal.html,10000000,0,0,11,166.545455,164.636364,0,0,0,0,0,0.797237,1
informationconcernant.x11s.org/verifier/etap1.html?u=xwww.visaeurope.fr/espace-client/mes-donnees-personnelles?rpsnv=,182481,1,0,12,71.083333,69.666667,0,0,0,0,0.666667,0.794899,1
www.uhcocottes.com/wp-content/languages/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0e78c5d983e619978f1001d90f10e9c70d78c5d983e619978f1001d90f10e9c70d,10000000,0,0,9,201.666667,205.222222,0,0,0,0,0,0.811974,1
eurovis.altervista.org/login,602,1,1,1,748,786,0,0.001242,0,0.001248,0.8,0.859394,1
www.egitimogretimci.com/wp-admin/images/screenshots/index.htm,10000000,0,0,5,55.2,50.8,0,0,0,0,0,0.726384,1
www.fill-1.ru/media/system/images/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af43651fd874a08cbf0626afe4dc136c3524ab1fd874a08cbf0626afe4dc136c3524ab,10000000,0,0,8,143.75,149.75,0,0,0,0,0,0.795107,1
ecatreviews.com//wp-includes/images/boomzz.html,10000000,0,0,4,105.5,102,0,0,0,0,0,0.844444,1
randexpr.com/css/123659854/125689545/security/login.php,10000000,0,0,4,390.25,409.75,0,0,0,0,0,0.856148,1
randexpr.com/css/123659854/12568954120/security/login.php,10000000,0,0,4,390.25,409.75,0,0,0,0,0,0.856148,1
www.emotionalvirtue.com/paypal.com.login-submit.dispatch.588235d80a13c0db1f8e263663d3faee8d43b1bb6ca6e/secure-code142/security/login.php,10000000,0,0,9,236.777778,245.444444,0,0,0,0,0,0.825831,1
paypal.com.cgi.bin.webscr.cmd.login.submit.dispatch.5885d80a13c03faee8dcbcd55a50598f04d34b4bf5tt1.mediareso.com/secure-code4/security/login.php,10000000,0,0,14,192.071429,196.357143,0,0,0,0,0,0.806645,1
www.paypal.com.cgi-bin.webscr.dispatch.654a651951c965198e4195132321c9849a.6516c5132132e13516c9851616e51651d32.65a1651c321321321321.056516e56516e519849a1.bigmikestyles.com/update/,10000000,0,0,9,109.444444,105,0,0,0,0,0,0.692982,1
www.paypal.com.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0d36.63d3fae3e7f0184a.5674f290db9e9c846.mathieu-robert.com/,10000000,0,0,11,152.636364,151.272727,0,0,0,0,0,0.781034,1
